ID;male;female
0;$Name flieht weil er gehängt werden soll, es funktioniert. Er ist so glücklich das er sich betrinkt, in seinem Zustant versucht er den Mond zu umarmen. Leider war es eine Spiegelung im Fluss, $Name ertrinkt. Er ist tot;$Name flieht weil sie gehängt werden soll, es funktioniert. Sie ist so glücklich das sie sich betrinkt, in Ihrem Zustant versucht sie den Mond zu umarmen. Leider war es eine Spiegelung im Fluss, $Name ertrinkt. Sie ist tot
1;$Name hat mitbekommen das er ertränkt werden soll, er hat gehört das Qucksilber einen Unsterblich machen soll, nachdem $Name das Quecksilber aus 6 Thermometern gesammelt hat, trinkt $Name das Ganze. Irgendwie geht es ihm kurz darauf etwas übel. $Name ist tot.;$Name hat mitbekommen das sie ertränkt werden soll, sie hat gehört das Qucksilber einen Unsterblich machen soll, nachdem $Name das Quecksilber aus 6 Thermometern gesammelt hat, trinkt $Name das Ganze. Irgendwie geht es ihr kurz darauf etwas übel. $Name ist tot.
2;Bevor sich $Name seiner Exektion stellen konnte fiel $Name vom Himmel eine Schildkröte auf dem Kopf. Ein Greifvogel verwechselte seinen Kopf mit einem Felsbrocken und wollte darauf seine Schildkröte knacken. $Name ist tot;Bevor sich $Name seiner Exektion stellen konnte fiel $Name vom Himmel eine Schildkröte auf dem Kopf. Ein Greifvogel verwechselte Ihren Kopf mit einem Felsbrocken und wollte darauf seine Schildkröte knacken. $Name ist tot
3;Als $Name mitbekommt das er am Abend gekopft werden soll schwingt er sich auf sein Pferd und reitet wie der Wind aus dem Dorf, er kam genau 268m weit, dann rannte Ihm ein Schwein vor sein Pferd, das scheute und ihn abwarf, er brach sich das Genickt. $Name ist tot;Als $Name mitbekommt das sie am Abend gekopft werden soll schwingt sie sich auf Ihr Pferd und reitet wie der Wind aus dem Dorf, sie kam genau 268m weit, dann rannte Ihr ein Schwein vor das Pferd, das scheute und sie abwarf, sie brach sich das Genickt. $Name ist tot
4;Hinrichtung von $Name: Die Dorfeinwohner rollen $Name in einen Teppich ein und lassen Ihn von Pferden tot trampeln;Hinrichtung von $Name: Die Dorfeinwohner rollen $Name in einen Teppich ein und lassen Sie von Pferden tot trampeln
5;Hinrichtung von $Name: Man führt $Name ein Horn aus glühenden Eisen rektal ein, er verbrannte innerlich.;Hinrichtung von $Name: Man führt $Name ein Horn aus glühenden Eisen rektal ein, sie verbrannte innerlich.
6;Hinrichtung von $Name: $Name wollte in einem Weinfass ertränkt werden, der Wunsch wurde gewährt. $Name ist tot;Hinrichtung von $Name: $Name wollte in einem Weinfass ertränkt werden, der Wunsch wurde gewährt. $Name ist tot
7;Als $Name mitbekam das er hingerichtet werden sollte, löste der Schock einen Lachanfall aus, er erstickte dabei. $Name ist tot;Als $Name mitbekam das sie hingerichtet werden sollte, löste der Schock einen Lachanfall aus, sie erstickte dabei. $Name ist tot
8;Hinrichtung von $Name: Der Letzte Wunsch ein All-U-Can-Eat Buffet. Nach 14 Gängen erstickte er an einem Hühnerknochen. $Name ist tot;Hinrichtung von $Name: Der Letzte Wunsch ein All-U-Can-Eat Buffet. Nach 14 Gängen erstickte sie an einem Hühnerknochen. $Name ist tot
9;Hinrichtung von $Name: Man stürzt $Name in eine Grube in der sich ein wilder Stier befand, $Name wurde zu tode getrampelt;Hinrichtung von $Name: Man stürzt $Name in eine Grube in der sich ein wilder Stier befand, $Name wurde zu tode getrampelt
10;Als $Name von der Wahl erfuhr, schnappte sich $Name den Fallschirm der sein Hobby-Projekt war und lief zur Ost-Klippe des Dorfes, das eigene Gewischt wurde für den Fallschirm richtig berechnet, leider wurde das Gewicht des Fallschirms (knapp 100kg) außer acht gelassen. Was soll man sagen, ein großer Fleck am Grunde der Schlucht zeigt an wo $Name aufkam.;Als $Name von der Wahl erfuhr, schnappte sich $Name den Fallschirm der Ihr Hobby-Projekt war und lief zur Ost-Klippe des Dorfes, das eigene Gewischt wurde für den Fallschirm richtig berechnet, leider wurde das Gewicht des Fallschirms (knapp 100kg) außer acht gelassen. Was soll man sagen, ein großer Fleck am Grunde der Schlucht zeigt an wo $Name aufkam.
11;$Name starb in der Zelle in der $Name auf seine Hinrichtung wartete an eine Cyanidvergiftung. Die Zelle sollte mit Cyanwasserstoff (Blausäure) von Bettwanzen gereinigt werden, leider wurde nicht lange genug gelüftet. $Name ist tot;$Name starb in der Zelle in der $Name auf Ihre Hinrichtung wartete an eine Cyanidvergiftung. Die Zelle sollte mit Cyanwasserstoff (Blausäure) von Bettwanzen gereinigt werden, leider wurde nicht lange genug gelüftet. $Name ist tot
12;Als $Name vor 10 Jahren in einem Krieg kämpfte traf Ihn eine feindliche Kugel mitten ins Herz. $Name überlebte, doch die Kugel verblieb in seinem Körper. Als er von seiner geplanten Hinrichtung erfuhr, bewegte sich der Fremdkörper in seinem Herzen, woran er schließlich starb;Als $Name vor 10 Jahren in einem Krieg kämpfte traf Sie eine feindliche Kugel mitten ins Herz. $Name überlebte, doch die Kugel verblieb in seinem Körper. Als sie von ihrer geplanten Hinrichtung erfuhr, bewegte sich der Fremdkörper in seinem Herzen, woran sie schließlich starb
13;Der Letzte Wunsch von $Name vor der Hinrichtung war in einem Formel 1 Auto nochhmal richtig Gas zu geben. Als ein Vogel das Visier seines Helms durchschlug und $Name die Kontrolle über das Auto verlor starb $Name;Der Letzte Wunsch von $Name vor der Hinrichtung war in einem Formel 1 Auto nochmal richtig Gas zu geben. Als ein Vogel das Visier ihres Helms durchschlug und $Name die Kontrolle über das Auto verlor starb $Name
14;$Name floh als er von der geplanten Hinrichtung erfuhr in die Kanalisation, $Name stürzte in einen Abwassertank und ertrank;$Name floh als sie von der geplanten Hinrichtung erfuhr in die Kanalisation, $Name stürzte in einen Abwassertank und ertrank
15;"Hinrichtung von $Name: Er wurde gehängt, die Dorfbewohner sangen im Chor: ""Hängt ihn höher"" $Name starb.";"Hinrichtung von $Name: Sie wurde gehängt, die Dorfbewohner sangen im Chor: ""Hängt sie höher"" $Name starb."
16;Hinrichtung von $Name: Der elektrische Stuhl ließ ihn tanzen, es war sein letzter Tanz;Hinrichtung von $Name: Der elektrische Stuhl ließ sie tanzen, es war ihr letzter Tanz
17;Hinrichtung von $Name: Die Guillotine, machte Ihn einen Kopf kürzer, jetzt bekommt er den Kinderrabatt;Hinrichtung von $Name: Die Guillotine, machte sie einen Kopf kürzer, jetzt bekommt sie den Kinderrabatt
18;Hinrichtung von $Name: Er bruzelte knusprig auf dem Scheiterhaufen;Hinrichtung von $Name: Sie bruzelte knusprig auf dem Scheiterhaufen
19;Hinrichtung von $Name: $Name entkam der Hinrichtung, er war früher Spion und hatte noch die Selbstmord-Pille;Hinrichtung von $Name: $Name entkam der Hinrichtung, er war früher Spion und hatte noch die Selbstmord-Pille.
20;$Name bekommt Wind davon, dass er geköpft werden soll. Er beschließt, die Welt zu sehen und baut sich ein Boot um über den Dorf-See zu fliehen, am hydraulischen Nagler klemmt ein Nagel, $Name versucht die Verstopfung zu lösen, der Nagel löst sich leider im falschen Moment und $Name ist jetzt ein Einhörnchen.;$Name bekommt Wind davon, dass sie geköpft werden soll. Sie beschließt, die Welt zu sehen und baut sich ein Boot um über den Dorf-See zu fliehen, am hydraulischen Nagler klemmt ein Nagel, $Name versucht die Verstopfung zu lösen, der Nagel löst sich leider im falschen Moment und $Name ist jetzt ein Einhörnchen. $Name ist tot.
21;$Name hört, dass er ertränkt werden soll. Er verschluckte sich vor Schreck, an dem Zahnstocher den er währenddessen im Mund hatte, das spitze Holz löste innere Blutungen aus. $Name ist tot.;$Name hört, dass sie ertränkt werden soll. Sie verschluckte sich, vor Schreck, an dem Zahnstocher den sie währenddessen im Mund hatte, das spitze Holz löste innere Blutungen aus. $Name ist tot.
22;$Name sieht einen alten Film und denkt, er könnte fliegen, wenn er nur genug Federn hat. Er klebt sich 1000 Federn an und springt vom Kirchturm. Es stellt sich heraus, dass Filme nicht immer die Realität widerspiegeln. $Name ist tot.;$Name sieht einen alten Film und denkt, sie könnte fliegen, wenn sie nur genug Federn hat. Sie klebt sich 1000 Federn an und springt vom Kirchturm. Es stellt sich heraus, dass Filme nicht immer die Realität widerspiegeln. $Name ist tot.
